,doi,title,authors,published,url,journal,has_fulltext,is_oa,downloaded,downloadable,path,paper_download_status,data_links_keywords,data_availability_statements,code_availability_statements,format,repository,repository_url,download_status,download_date,download_path,data_size,license,data_dir,number_of_files,formats
0,https://doi.org/10.1098/rspb.2024.1487,The promise of community-driven preprints in ecology and evolution,"Daniel W. A. Noble, Zoe A. Xirocostas, Nicholas C. Wu, April Robin Martinig, Rafaela A. Almeida, Kevin R. Bairos‐Novak, Heikel Balti, Michael G. Bertram, Louis Bliard, Jack A. Brand, Ilha Byrne, Ying‐Chi Chan, Dena J. Clink, Quentin Corbel, Ricardo A. Correia, Jordann Crawford-Ash, Antica Čulina, Elvira D’Bastiani, Gideon Gywa Deme, Melina de Souza Leite, Félicie Dhellemmes, Shreya Dimri, Szymon M. Drobniak, Alexander Elsy, Susan E. Everingham, Samuel Gascoigne, Matthew Grainger, Gavin C. Hossack, Knut Anders Hovstad, Edward Ivimey‐Cook, Matt L. Jones, Ineta Kačergytė, Georg Küstner, Dalton C. Leibold, Magdalena M. Mair, Jake M. Martin, Ayumi Mizuno, Iain Moodie, David Moreau, Rose E. O’Dea, James Orr, Matthieu Paquet, Rabindra Parajuli, Joel L. Pick, Patrice Pottier, Marija Purgar, Pablo Recio, Dominique G. Roche, Raphaël Royauté, Saeed Shafiei Sabet, Júlio M.G. Segovia, Inês Silva, Alfredo Sánchez‐Tójar, Bruno Eleres Soares, Birgit Szabo, Elina Takola, Eli S.J. Thoré, Bishnu Timilsina, Natalie E. van Dis, Wilco C. E. P. Verberk, Stefan J. G. Vriend, Kristoffer H. Wild, Coralie Williams, Yefeng Yang, Shinichi Nakagawa, Malgorzata Lagisz",2025-01-01,,Proceedings of the Royal Society B Biological Sciences,False,True,False,False,,not_downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
1,https://doi.org/10.1016/j.ecss.2025.109223,Seasonal and spatial distribution of trace metals and bacteria on beached plastics in the Adriatic Sea,"Ana Rapljenović, Hana Fajković, Damir Kapetanović, Ivan Lakuš, Kristina Pikelj, Marija Purgar, Vito Stančec, Vlado Cuculić",2025-03-01,,Estuarine Coastal and Shelf Science,False,False,False,False,,not_downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
2,https://doi.org/10.1007/s10750-024-05484-8,Unraveling the role of top predators and macrophytes in mediterranean ponds: the ecological significance of rotifers,"Tvrtko Dražina, Marija Purgar, Natalia Kuczyńska‐Kippen, Εvangelia Μichaloudi, Georgia Stamou, Kristina Kahriman, Žanet Bilić, Maria Špoljar",2024-03-08,,Hydrobiologia,False,False,False,False,,not_downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
3,https://doi.org/10.3390/microorganisms10091765,Investigating the Ability of Growth Models to Predict In Situ Vibrio spp. Abundances,"Marija Purgar, Damir Kapetanović, Sunčana Geček, Nina Marn, Ines Haberle, Branimir K. Hackenberger, Ana Gavrilović, Jadranka Pečar-Ilić, Domagoj K. Hackenberger, Tamara Djerdj, Bruno Ćaleta, Tin Klanjšček",2022-08-31,https://www.mdpi.com/2076-2607/10/9/1765/pdf?version=1662610427,Microorganisms,True,True,True,True,/home/domagoj/ecoopentest/Marija_Purgar_et_al_2022_Investigating_the_Ability_of_Growth_Models_to_Predict_In_Situ_Vibrio_spp__A.pdf,downloaded,"['https://cran.r-project.org/web/packages/SciViews/SciViews.pdf', 'https://cran.r-project.org/web/packages/xlsx/xlsx.pdf']",[],"['Finally, tertiary mathematical models are software packages that\ncombineprimaryand/orsecondarymodelsandoftenaddauserinterface[24].', 'Theanalyticalcodecan\nbefoundintheRscriptnameddata_preparation.', 'Theexactanalyticcode\ncanbefoundatZenodo[71].', 'Significancecodesareasfollows: p≤0‘****’,p<0.01‘**’,andp<0.5‘*’.', 'DataAvailabilityStatement: Thefivedatasetsfromliteraturesearchareavailableattheirrespective\nreferences,andthetwonewdatasetsaresubmittedtoPANGAEAopendatarepository(https://www.', 'pangaea.de/),pleasesearchforkeywordsAqADAPTand/orAQUAHEALTH.Thecodeusedto\nperformanalysisandtocreateplotsisdepositedatZenodo,https://doi.org/10.5281/zenodo.7013394\n(accessedon20August2022).', 'The\nfunctionforcalculatingwateractivityfromtheconcentrationofNaCl(%)isavailableinR\nscript“water_activity.R”.Analyticalcodeformodelsimulationscanbefoundinthefollow-\ningscripts: “AqADAPT.R”,“AQUAHEALTH.R”,“Bullington2022.R”,“Froelich2019.R”,\n“Steward2022.R”,“Urquhart2016.R”,and“Williams2017.R”.', 'Parametersusedinsecondarymodelsareavailableintheprovidedcode.', 'CodesforPurgaretal.2022:InvestigatingtheabilityofgrowthmodelstopredictinsituVibriospp.abundances.']","['pdf', 'pdf']","['unknown', 'unknown']","['https://cran.r-project.org/web/packages/SciViews/SciViews.pdf', 'https://cran.r-project.org/web/packages/xlsx/xlsx.pdf']",success,2025-03-10 18:04:38,"['/home/domagoj/ecoopentest_data/Investigating_the_A/cran_r-project_org/data_file.bin', '/home/domagoj/ecoopentest_data/Investigating_the_A/cran_r-project_org/data_file.bin']",[0.18],unknown,/home/domagoj/ecoopentest_data/Investigating_the_A,1,['bin']
4,https://doi.org/10.1016/j.marchem.2024.104431,"Adsorption of trace metals onto different plastics during long-term exposure in an estuarine environment: Influence of time, stratified water column, and specific surface area","Ana Rapljenović, Željko Kwokal, Marija Purgar, Marko Viskić, Vlado Cuculić",2024-07-11,,Marine Chemistry,False,False,False,False,,not_downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
5,https://doi.org/10.1016/j.aquaculture.2023.740052,Effects of climate change on gilthead seabream aquaculture in the Mediterranean,"Ines Haberle, Domagoj K. Hackenberger, Tamara Djerdj, Lav Bavčević, Sunčana Geček, Branimir K. Hackenberger, Nina Marn, Jasminka Klanjšček, Marija Purgar, Jadranka Pečar-Ilić, Tin Klanjšček",2023-09-09,,Aquaculture,True,False,False,False,,not_downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
6,https://doi.org/10.1016/j.ecss.2023.108558,Assessment of Vibrio spp. abundance as a water quality indicator: Insights from Mali Ston Bay in the Adriatic Sea,"Marija Purgar, Ana Gavrilović, Damir Kapetanović, Jasminka Klanjšček, Jurica Jug–Dujaković, Anamarija Kolda, Jakov Žunić, Snježana Kazazić, Irena Vardić Smrzlić, Darija Vukić Lušić, Kristina Pikelj, Eddy Listeš, Mansour El‐Matbouli, Atle Lillehaug, Semir Lončarević, Dražen Knežević, Brigita Hengl, Sunčana Geček, Tin Klanjšček",2023-11-12,,Estuarine Coastal and Shelf Science,False,False,False,False,,not_downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
7,https://doi.org/10.3390/data8030055,"Dataset AqADAPT: Physicochemical Parameters, Vibrio Abundance, and Species Determination in Water Columns of Two Adriatic Sea Aquaculture Sites","Marija Purgar, Damir Kapetanović, Ana Gavrilović, Branimir K. Hackenberger, Božidar Kurtović, Ines Haberle, Jadranka Pečar-Ilić, Sunčana Geček, Domagoj K. Hackenberger, Tamara Djerdj, Lav Bavčević, Jakov Žunić, Fran Barac, Zvjezdana Šoštarić Vulić, Tin Klanjšček",2023-03-03,https://www.mdpi.com/2306-5729/8/3/55/pdf?version=1677828331,Data,False,True,True,True,/home/domagoj/ecoopentest/Marija_Purgar_et_al_2023_Dataset_AqADAPT__Physicochemical_Parameters__Vibrio_Abundance__and_Species_.pdf,downloaded,"['https://mmpi.gov.hr/UserDocsImages/arhiva/Prilog2-I-IzmjeneIDopuneLokacijskeDozvole.pdf', 'https://doi.pangaea.de/10.1594/PANGAEA.950280']",[],"['abundance data have been published in the PANGAEA repository[12]\nasapartoftheCroatiansciencefoundation(HRZZ)projectAqADAPT—AdaptingMa-\nrineFinfishAquaculturetoaChangingClimate(no.', 'DataAvailabilityStatement: TheAqADAPTdatasetcanbeaccessedandsharedviaPANGAEA\nrepository[12]andSupplementaryInformationofthisarticle.']","['pdf', 'unknown']","['unknown', 'pangaea']","['https://mmpi.gov.hr/UserDocsImages/arhiva/Prilog2-I-IzmjeneIDopuneLokacijskeDozvole.pdf', 'https://doi.pangaea.de/10.1594/PANGAEA.950280']",success,2025-03-10 18:04:39,"['/home/domagoj/ecoopentest_data/Dataset_AqADAPT__Ph/mmpi_gov_hr/data_file.bin', '/home/domagoj/ecoopentest_data/Dataset_AqADAPT__Ph/pangaea/PANGAEA.950280.unknown']","[9.41, 0.02]",CC BY (Pangaea default),/home/domagoj/ecoopentest_data/Dataset_AqADAPT__Ph,2,"['bin', 'unknown']"
8,https://doi.org/10.26800/lv-146-3-4-3,Awareness of students at the University of Josip Juraj Strossmayer in Osijek regarding the opt-out law on organ donation after brain death,"Filip Šimić, Adrian Borna Bašić, Marija Purgar, Lucija Falamić, Marko Roso, Lucija Mandić, Zvonimir Kolarević, Mateja Debeljak, Lada Zibar, Transplantacija Organa, I Upitnici",2024-06-02,,Liječnički vjesnik,False,True,False,False,,not_downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
9,https://doi.org/10.3390/w14111680,Sediment as a Refuge Spot for Planktonic Crustaceans,"Maria Špoljar, Natalia Kuczyńska‐Kippen, Tvrtko Dražina, Jelena Fressl, Ivančica Ternjej, Tea Tomljanović, Chen Zhang, Marija Purgar, Marko Čorkalo, Lana Kekelj",2022-05-24,https://www.mdpi.com/2073-4441/14/11/1680/pdf?version=1653531266,Water,False,True,True,True,/home/domagoj/ecoopentest/Maria_Špoljar_et_al_2022_Sediment_as_a_Refuge_Spot_for_Planktonic_Crustaceans.pdf,downloaded,[],[],['Significance codes are as follows: p < 0.01 ‘**’ and p < 0.5 ‘*’.'],[],[],[],no_links,,[],[],unknown,,0,[]
