,doi,title,authors,published,url,journal,has_fulltext,is_oa,downloaded,downloadable,path,paper_download_status,data_links_keywords,data_availability_statements,code_availability_statements,format,repository,repository_url,download_status,download_date,download_path,data_size,license,data_dir,number_of_files,formats
0,https://doi.org/10.1016/j.physrep.2021.10.005,Social physics,"Marko Jusup, Petter Holme, Kiyoshi Kanazawa, Misako Takayasu, Ivan Romić, Zhen Wang, Sunčana Geček, Tomislav Lipić, Boris Podobnik, Lin Wang, Wei Luo, Tin Klanjšček, Jingfang Fan, Stefano Boccaletti, Matjaž Perc",2022-01-11,,Physics Reports,True,True,False,False,,not_downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
1,https://doi.org/10.3354/meps10547,Using short-term measures of behaviour to estimate long-term fitness of southern elephant seals,"LF New, JS Clark, Daniel P. Costa, Erica Fleishman, Mark A. Hindell, Tin Klanjšček, David Lusseau, Scott D. Kraus, Clive R. McMahon, PW Robinson, RS Schick, LK Schwarz, Samantha E. Simmons, Len Thomas, Peter L. Tyack, John Harwood",2013-09-02,https://www.int-res.com/articles/meps2013/496/m496p099.pdf,Marine Ecology Progress Series,True,True,True,True,/home/domagoj/ecoopentest/LF_New_et_al_2013_Using_short_term_measures_of_behaviour_to_estimate_long_term_fitness_of_southern_e.pdf,downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
2,https://doi.org/10.1038/ncomms1183,Predicting climate change impacts on polar bear litter size,"Péter K. Molnár, Andrew E. Derocher, Tin Klanjšček, Mark A. Lewis",2011-02-08,https://www.nature.com/articles/ncomms1183.pdf,Nature Communications,True,True,True,True,/home/domagoj/ecoopentest/Péter_K__Molnár_et_al_2011_Predicting_climate_change_impacts_on_polar_bear_litter_size.pdf,downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
3,https://doi.org/10.1371/journal.pone.0021903,A Full Lifecycle Bioenergetic Model for Bluefin Tuna,"Marko Jusup, Tin Klanjšček, Hiroyuki Matsuda, S.A.L.M. Kooijman",2011-07-11,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0021903&type=printable,PLoS ONE,False,True,True,True,/home/domagoj/ecoopentest/Marko_Jusup_et_al_2011_A_Full_Lifecycle_Bioenergetic_Model_for_Bluefin_Tuna.pdf,downloaded,[],[],"['We use a numerical implementa- Since various tissues of PBT exhibit various temperatures at the\ntion of this method, available freely in the DEBtool software same time, we use peritoneal cavity as a proxy for body\npackage [40].', 'Therefore, the ratio of DEBtoolsoftware package[40].']",[],[],[],no_links,,[],[],unknown,,0,[]
4,https://doi.org/10.1016/j.aquaculture.2010.01.009,"Compensatory growth in gilthead sea bream (Sparus aurata) compensates weight, but not length","Lav Bavčević, Tin Klanjšček, Vatroslav Karamarko, Ivica Aničić, Tarzan Legović",2010-01-19,,Aquaculture,True,False,True,True,/home/domagoj/ecoopentest/Lav_Bavčević_et_al_2010_Compensatory_growth_in_gilthead_sea_bream__Sparus_aurata__compensates_weight.pdf,downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
5,https://doi.org/10.1371/journal.pone.0074456,Environmental Feedbacks and Engineered Nanoparticles: Mitigation of Silver Nanoparticle Toxicity to Chlamydomonas reinhardtii by Algal-Produced Organic Compounds,"Louise Stevenson, Helen Dickson, Tin Klanjšček, Arturo A. Keller, Edward McCauley, Roger M. Nisbet",2013-09-23,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0074456&type=printable,PLoS ONE,True,True,True,True,/home/domagoj/ecoopentest/Louise_Stevenson_et_al_2013_Environmental_Feedbacks_and_Engineered_Nanoparticles__Mitigation_of_Silv.pdf,downloaded,[],[],['Dynamic Model\nThe model simulations and the parameter estimation were\nperformed usingproprietary code writtenin MATLAB.'],[],[],[],no_links,,[],[],unknown,,0,[]
6,https://doi.org/10.1016/j.ecolmodel.2024.110869,"From formulae, via models to theories: Dynamic Energy Budget theory illustrates requirements","S.A.L.M. Kooijman, Michael Kearney, Nina Marn, Tânia Sousa, Tiago Domingos, Romain Lavaud, Charlotte Récapet, Tin Klanjšček, Tan Tjui Yeuw, Gonçalo M. Marques, Laure Pecquerie, Konstadia Lika",2024-09-09,,Ecological Modelling,False,True,False,False,,not_downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
7,https://doi.org/10.1016/j.ecolmodel.2017.07.001,"Environmental effects on growth, reproduction, and life-history traits of loggerhead turtles","Nina Marn, Marko Jusup, Tarzan Legović, S.A.L.M. Kooijman, Tin Klanjšček",2017-07-19,,Ecological Modelling,True,True,True,False,/home/domagoj/ecoopentest/Nina_Marn_et_al_2017_Environmental_effects_on_growth__reproduction__and_life_history_traits_of_logge.pdf,downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
8,https://doi.org/10.1111/faf.12744,Fish condition as an indicator of stock status: Insights from condition index in a food‐limiting environment,"Ines Haberle, Lav Bavčević, Tin Klanjšček",2023-03-16,,Fish and Fisheries,True,True,False,False,,not_downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
9,https://doi.org/10.1371/journal.pone.0026955,Modeling Physiological Processes That Relate Toxicant Exposure and Bacterial Population Dynamics,"Tin Klanjšček, Roger M. Nisbet, John H. Priester, Patricia A. Holden",2012-02-06,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0026955&type=printable,PLoS ONE,True,True,True,True,/home/domagoj/ecoopentest/Tin_Klanjšček_et_al_2012_Modeling_Physiological_Processes_That_Relate_Toxicant_Exposure_and_Bacteria.pdf,downloaded,[],[],"['Newtonmethod).Wesimulatedthemodelusingproprietarycode\nwritten in MATLAB, and calculated the square of the difference\nRelating observables to state variables betweenobservedandsimulatedcellconcentrationforagivenset\nRelatingstatevariablestodataisacrucialstepinanymodeling of parameters.', 'TyneckaZ,GosZ,ZajacJ(1981)Energy-dependenteffluxofcadmiumcoded adaptation to changing availability of substrates.']",[],[],[],no_links,,[],[],unknown,,0,[]
10,https://doi.org/10.1007/s10646-012-1028-7,Dynamic energy budget approach to modeling mechanisms of CdSe quantum dot toxicity,"Tin Klanjšček, Roger M. Nisbet, John H. Priester, Patricia A. Holden",2013-01-04,,Ecotoxicology,True,False,True,True,/home/domagoj/ecoopentest/Tin_Klanjšček_et_al_2013_Dynamic_energy_budget_approach_to_modeling_mechanisms_of_CdSe_quantum_dot_t.pdf,downloaded,[],[],"['panel).Dissolutiondrivensimulationsstilloverestimatethe\nThe models were fitted to data using MATLAB’s nlin- effects of the lowest exposure (10 mg/L), but grossly\nfit.mleastsquaresfittingroutine.Themodelwassimulated underestimate effects of all the other exposures, proving\nusingproprietarycodewritteninMATLAB, andsquareof thisscenarioincapableofcapturingevenrudimentarytoxic\nthe difference between observed and simulated cell con- effects (Fig.']",[],[],[],no_links,,[],[],unknown,,0,[]
11,https://doi.org/10.1016/j.seares.2014.09.002,"Simple measurements reveal the feeding history, the onset of reproduction, and energy conversion efficiencies in captive bluefin tuna","Marko Jusup, Tin Klanjšček, Hiroyuki Matsuda",2014-09-28,,Journal of Sea Research,True,False,True,True,/home/domagoj/ecoopentest/Marko_Jusup_et_al_2014_Simple_measurements_reveal_the_feeding_history__the_onset_of_reproduction__an.pdf,downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
12,https://doi.org/10.1016/j.marenvres.2017.01.003,Inferring physiological energetics of loggerhead turtle (Caretta caretta) from existing data using a general metabolic theory,"Nina Marn, S.A.L.M. Kooijman, Marko Jusup, Tarzan Legović, Tin Klanjšček",2017-02-04,https://www.sciencedirect.com/science/article/am/pii/S0141113617300387,Marine Environmental Research,True,True,True,True,/home/domagoj/ecoopentest/Nina_Marn_et_al_2017_Inferring_physiological_energetics_of_loggerhead_turtle__Caretta_caretta__from_.pdf,downloaded,[],[],[],[],[],[],no_links,,[],[],unknown,,0,[]
13,https://doi.org/10.1016/j.seares.2018.06.010,Comparative physiological energetics of Mediterranean and North Atlantic loggerhead turtles,"Nina Marn, Marko Jusup, Sidonie Catteau, S.A.L.M. Kooijman, Tin Klanjšček",2018-06-22,,Journal of Sea Research,True,True,True,False,/home/domagoj/ecoopentest/Nina_Marn_et_al_2018_Comparative_physiological_energetics_of_Mediterranean_and_North_Atlantic_logger.pdf,downloaded,[],"['In addition, we compared RE\n2.2. Thephysiologicalapproach–amechanisticdynamicenergybudget valuesobtainedby‘pars ’toREvaluesobtainedby‘pars ’usingthe\nNA MED\n(DEB)model Wilcoxonsignedranktest(signrankinMatlab)andsigntest,which\nhave been recommended for comparisons of two classifiers over mul-\nLife-history traits of loggerhead turtles are described well by the tipledatasets(Demšar,2006).Weapproximateduncertaintyofpara-\nstandardDEBmodel(Marn etal.,2017b).Accordingly, wecharacter- meter values by combining the information on data availability\nized an individual MED turtle with three state variables: structural (COMPLETElevel,Likaetal.2011a)anddataagreement(MRE,SMSE),\nlength(L),reserveenergy(E),andmaturitylevel(E ).Changesinthese followingtheapproachpresentedinPaulyandZeller(2016).']","['characteristicscausethetwopopulationstodiffer.Putalternatively,we\nWe converted the state variable of the standard DEB model into wouldbetterunderstandhowevolutionadaptedMEDloggerheadtur-\nmeasurable quantities (e.g., body length and mass) by means of con- tlestolifeintheMediterraneanSea.Wewroteandexecutedallcodein\nversion parameters.', 'Piovano,S.,Clusa,M.,Carreras,C.,Giacoma,C.,Pascual,M.,Cardona,L.,2011.Different\nKooijman,S.A.L.M.,Marques,G.,Augustine,S.,Pecquerie,L.,Lika,D.,2018.DEBtool growthratesbetweenloggerheadseaturtles(Carettacaretta)ofMediterraneanand\n[softwarepackage].']",[],[],[],no_links,,[],[],unknown,,0,[]
14,https://doi.org/10.1534/genetics.116.196154,Elevated Rate of Genome Rearrangements in Radiation-Resistant Bacteria,"Jelena Repar, Fran Supek, Tin Klanjšček, Tobias Warnecke, Ksenija Zahradka, Davor Zahradka",2017-02-11,https://www.genetics.org/content/genetics/205/4/1677.full.pdf,Genetics,True,True,True,True,/home/domagoj/ecoopentest/Jelena_Repar_et_al_2017_Elevated_Rate_of_Genome_Rearrangements_in_Radiation_Resistant_Bacteria.pdf,downloaded,[],[],"['These lengths roughly correspond to\ntion implemented in the MATLAB routine “nmregr” of the the minimal length of homology necessary for DSB repair\nDEB tool software (as described in Kooijman 2016).', 'Custom code used for the analyses can be\nlined,exhibitingfeaturesthatenablefastreproductionofcells foundathttps://github.com/jrepar/Rearrangements.', 'Friedmann, 2000 Ionizing-radiation resistance inthedesicca- Kooijman,S.A.L.M.,2016 DEBtoolSoftware.Availableat:www.', '2004 Versatile and open software for comparing large ge-\nOberto, 2015 Comparative genomics reveals conserved posi- nomes.GenomeBiol.5:R12.']",[],[],[],no_links,,[],[],unknown,,0,[]
