doi,title,authors,published,url,journal,has_fulltext,is_oa,downloaded,path,data_links,data_availability_statements,code_availability_statements,format,repository,repository_url,download_status,data_download_path,data_size,number_of_files,license
10.1046/j.1526-100x.2000.80038.x,"Mitigation Strategies in Some Motorway Embankments (Catalonia, Spain)","Pilar Andrés, Montserrat Jorba",2000-09-01,https://doi.org/10.1046/j.1526-100x.2000.80038.x,Restoration Ecology,False,False,False,,[],,,,,,False,,,0,
10.1006/jhev.1999.0361,"The depositional context of the Early Upper Paleolithic human fossils from the Koněprusy (Zlatý kůň) and Mladeč Caves, Czech Republic",Jiřı́ Svoboda,2000-04-01,https://doi.org/10.1006/jhev.1999.0361,Journal of Human Evolution,False,False,False,,[],,,,,,False,,,0,
10.1023/A:1007643800508,"Ontogeny of Spectral Transmission in the Eye of the Tropical Damselfish, Dascyllus albisella (Pomacentridae), and Possible Effects on UV Vision","George S. Losey, Peter A. Nelson, Jill P. Zamzow",2000-09-01,https://doi.org/10.1023/a:1007643800508,Environmental Biology of Fishes,False,False,False,,[],,,,,,False,,,0,
10.1007/PL00008879,"Variation in hydraulic architecture and gas-exchange in two desert sub-shrubs, Hymenoclea salsola (T. &amp; G.) and Ambrosia dumosa (Payne)",J. Comstock,2000-10-01,https://doi.org/10.1007/pl00008879,Oecologia,False,False,False,,[],,,,,,False,,,0,
10.1023/A:1005453220792,,"K. S. Boo, Jinsong Yang",2000-01-01,https://doi.org/10.1023/a:1005453220792,Journal of Chemical Ecology,False,False,False,,[],,,,,,False,,,0,
10.1080/002229301300323875,The periodicity of isosporan oocyst discharge in the greenfinch (<i>Carduelis chloris</i>),"M. A. Brown, S. J. Ball, D. W. Holman",2001-07-01,https://doi.org/10.1080/002229301300323875,Journal of Natural History,False,False,False,,[],,,,,,False,,,0,
10.1006/bijl.2001.0522,Frequency-dependent predation by birds at edges and interiors of woodland,Esteban Fernández‐Juricic,2001-05-01,https://doi.org/10.1006/bijl.2001.0522,Biological Journal of the Linnean Society,False,False,False,,[],,,,,,False,,,0,
10.1046/j.1365-294X.2001.01179.x,Resistance or emigration: response of the high‐alpine plant <i>Eritrichium nanum</i> (L.) Gaudin to the ice age within the Central Alps,"Ivana Stehlik, Jakob Schneller, Konrad Bachmann",2001-02-01,https://doi.org/10.1046/j.1365-294x.2001.01179.x,Molecular Ecology,False,False,False,,[],,,,,,False,,,0,
10.2307/2680224,Interspecific Competition and Coexistence in a Guild of Coral-Dwelling Fishes,"Philip L. Munday, Geoffrey P. Jones, M. Julian Caley",2001-08-01,https://doi.org/10.2307/2680224,Ecology,False,False,False,,[],,,,,,False,,,0,
10.1007/S00265-001-0433-3,Biased sperm use by polyandrous queens of the ant Proformica longiseta,"I. Fernández-Escudero, Pekka Pamilo, Perttu Seppä",2002-02-01,https://doi.org/10.1007/s00265-001-0433-3,Behavioral Ecology and Sociobiology,False,False,False,,[],,,,,,False,,,0,
10.1078/0367-2530-00055,"Seedling establishment, bud movement, and subterranean diversity of geophilous systems in Apiaceae","Norbert Pütz, I.n.a. Sukkau",2002-01-01,https://doi.org/10.1078/0367-2530-00055,Flora,False,False,False,,[],,,,,,False,,,0,
10.1023/A:1020951514763,,"Т. В. Жуйкова, В. С. Безель, В. Н. Позолотина, O. A. Severyukhina",2002-01-01,https://doi.org/10.1023/a:1020951514763,Russian Journal of Ecology,False,False,False,,[],,,,,,False,,,0,
10.1111/aje.13028,"Undocumented invasive exotic woody plants of Mabira Central Forest Reserve, Uganda","James Kalema, Ahmad Bukenya, Eric Sande, William Olupot",2022-06-30,https://doi.org/10.1111/aje.13028,African Journal of Ecology,False,False,False,,[],,,,,,False,,,0,
10.1002/eco.2288,Water flux responses of tropical trees and lianas to foliage loss caused by a heavy hailstorm,"Zafar Siddiq, Yajun Chen, Kun‐Fang Cao",2021-03-03,https://doi.org/10.1002/eco.2288,Ecohydrology,False,False,False,,[],,,,,,False,,,0,
10.1007/s00265-020-02952-8,Not so naïve: endangered mammal responds to olfactory cues of an introduced predator after less than 150 years of coexistence,"Lisa A. Steindler, Mike Letnic",2021-01-01,https://doi.org/10.1007/s00265-020-02952-8,Behavioral Ecology and Sociobiology,False,False,False,,[],,,,,,False,,,0,
10.1007/s11252-024-01543-z,Urban trawling bats depend on green and blue space in a subtropical city: implications for urban planning and climate change resilience,"Vanessa Gorecki, Monika Rhodes, Stuart Parsons",2024-04-09,https://doi.org/10.1007/s11252-024-01543-z,Urban Ecosystems,False,False,False,,[],,,,,,False,,,0,
10.1111/gcb.13854,Unexpected resilience of a seagrass system exposed to global stressors,"Brent B. Hughes, Sarah Lummis, Sean C. Anderson, Kristy J. Kroeker",2017-07-28,https://doi.org/10.1111/gcb.13854,Global Change Biology,False,False,False,,[],,,,,,False,,,0,
10.1007/s00606-016-1324-4,Phylogeographic study revealed microrefugia for an endemic species on the Qinghai–Tibetan Plateau: Rhodiola chrysanthemifolia (Crassulaceae),"Qingbo Gao, Faqi Zhang, Rui Xing, R. J. Gornall, Peng‐Cheng Fu, Yan Li, Zhuo-Ma Gengji, Shilong Chen",2016-07-01,https://doi.org/10.1007/s00606-016-1324-4,Plant Systematics and Evolution,False,False,False,,[],,,,,,False,,,0,
