doi;title;authors;published;url;journal;has_fulltext;is_oa;downloaded;path;pdf_content_length;data_links;data_availability_statements;code_availability_statements;format;repository;repository_url;download_status;data_download_path;data_size;number_of_files;license
10.1046/j.1526-100x.2000.80038.x;Mitigation Strategies in Some Motorway Embankments (Catalonia, Spain);Pilar Andrés, Montserrat Jorba;2000-09-01;;;False;False;False;;0;[];No text available for analysis.;No text available for analysis.;;;;False;;0.0;0;
10.1006/jhev.1999.0361;The depositional context of the Early Upper Paleolithic human fossils from the Koněprusy (Zlatý kůň) and Mladeč Caves, Czech Republic;Jiřı́ Svoboda;2000-04-01;;;False;False;False;;0;[];No text available for analysis.;No text available for analysis.;;;;False;;0.0;0;
10.1023/A:1007643800508;Ontogeny of Spectral Transmission in the Eye of the Tropical Damselfish, Dascyllus albisella (Pomacentridae), and Possible Effects on UV Vision;George S. Losey, Peter A. Nelson, Jill P. Zamzow;2000-09-01;;;False;False;False;;0;[];No text available for analysis.;No text available for analysis.;;;;False;;0.0;0;
10.1016/S0022-0981(00)00211-2;Relations between variable rates of growth, metabolic costs and growth efficiencies in individual Sydney rock oysters (Saccostrea commercialis);Brian L. Bayne;2000-08-01;;;False;False;False;;0;[];No text available for analysis.;No text available for analysis.;;;;False;;0.0;0;
10.1007/PL00008879;"Variation in hydraulic architecture and gas-exchange in two desert sub-shrubs, Hymenoclea salsola (T. &amp; G.) and Ambrosia dumosa (Payne)";J. Comstock;2000-10-01;;;False;False;False;;0;[];No text available for analysis.;No text available for analysis.;;;;False;;0.0;0;
10.1046/j.1365-2664.2000.00543.x;The influence of the rice bug <i>Leptocorisa oratorius</i> on rice yield;Henk van den Berg, Soehardi;2000-12-01;;;True;True;True;./downloads/10.1046%2Fj.1365-2664.2000.00543.x.pdf;932504;[];No data availability statement found.;No code availability statement found.;;;;False;;0.0;0;
10.1111/j.1095-8312.2000.tb00208.x;Population structure, gene flow and evolutionary relationships in four species of the genera Tomocerus and Pogonognathellus (Collembola, Tomoceridae);Pietro Paolo Fanciulli, D. MELEGARI, Antonio Carapelli, Francesco Frati, Romano Dallai;2000-06-01;;;True;True;True;./downloads/10.1111%2Fj.1095-8312.2000.tb00208.x.pdf;162172;[];No text available for analysis.;No text available for analysis.;;;;False;;0.0;0;
10.3354/meps206033;Effects of nutrient enrichment on growth and phlorotannin production in Fucus gardneri embryos;Kathryn L. Van Alstyne, KN Pelletreau;2000-01-01;;;True;True;False;;0;[];No text available for analysis.;No text available for analysis.;;;;False;;0.0;0;
10.1023/A:1005453220792;;K. S. Boo, Jinsong Yang;2000-01-01;;;False;False;False;;0;[];No text available for analysis.;No text available for analysis.;;;;False;;0.0;0;
10.1046/j.1365-2656.2000.00374.x;Hatching asynchrony in the Eurasian kestrel <i>Falco tinnunculus</i>: an experimental test of the brood reduction hypothesis;Jürgen Wiehn, Petteri Ilmonen, Erkki Korpimäki, Maarit Pahkala, Karen L. Wiebe;2000-01-01;;;True;True;True;./downloads/10.1046%2Fj.1365-2656.2000.00374.x.pdf;278512;[];No data availability statement found.;No code availability statement found.;;;;False;;0.0;0;
